,代码,名称,当前价格,涨幅,涨价,总手,换手,市盈,当日最高,当日最低,今日开盘,昨日收盘,总市值,流通市值,市净
0,301083,C百胜,23.48,39.1,6.6,278854,74.41,67.3,24.63,17.68,17.37,16.88,4176309341,879909314,5.85
1,300052,中青宝,19.13,20.01,3.19,796439,30.49,218.07,19.13,15.64,15.64,15.94,5036341709,4996674755,7.1
2,300672,国科微,135.18,20.0,22.53,19478,1.13,100.65,135.18,135.18,135.18,112.65,24346877913,23395927438,17.42
3,300619,金银河,65.04,20.0,10.84,156481,27.27,345.1,65.04,52.83,52.1,54.2,4907329853,3732393830,9.73
4,300537,广信材料,17.7,20.0,2.95,202179,15.21,-447.88,17.7,14.93,14.82,14.75,3416588237,2353300526,3.11
5,300336,新文化,3.3,20.0,0.55,1284746,17.42,-14.34,3.3,2.74,2.73,2.75,2660559634,2434097447,11.04
6,300402,宝色股份,31.68,13.75,3.83,295944,14.65,139.32,33.4,27.83,26.89,27.85,6399360000,6399360000,10.6
7,300444,双杰电气,8.31,13.37,0.98,1555552,30.09,263.54,8.8,7.29,7.29,7.33,6026873413,4296118741,4.07
8,688301,奕瑞科技,465.0,12.05,50.0,12660,3.11,77.65,472.69,438.05,431.99,415.0,33734739090,18948815100,11.71
9,300031,宝通科技,20.88,11.9,2.22,439516,13.54,16.63,21.62,18.44,18.42,18.66,8284960417,6776332852,2.69
10,300620,光库科技,61.65,11.66,6.44,29671,2.9,58.54,63.5,55.19,55.05,55.21,6742948837,6298302959,4.57
11,301081,C严牌,20.67,11.25,2.09,241550,64.72,40.59,22.0,18.98,18.5,18.58,3527748900,771409568,3.67
12,002615,哈尔斯,6.02,10.05,0.55,287949,12.47,21.89,6.02,5.52,5.48,5.47,2481326550,1390002739,3.03
13,000416,民生控股,4.27,10.05,0.39,174077,3.27,202.16,4.27,4.11,4.06,3.88,2271091279,2270107488,2.55
14,600995,文山电力,12.83,10.03,1.17,25720,0.54,25.01,12.83,12.83,12.83,11.66,6139493712,6139493712,2.74
15,600793,宜宾纸业,16.23,10.03,1.48,141885,8.02,63.06,16.23,14.94,14.75,14.75,2871151952,2871151952,4.61
16,603721,中广天择,13.6,10.03,1.24,92123,7.09,107.12,13.6,12.46,12.45,12.36,1768000000,1768000000,3.35
17,002655,共达电声,11.85,10.03,1.08,384973,10.7,42.53,11.85,10.87,10.82,10.77,4266000000,4264274640,7.11
18,603045,福达合金,22.5,10.02,2.05,8443,0.61,43.6,22.5,22.5,22.5,20.45,3096450000,3096450000,3.65
19,600039,四川路桥,10.21,10.02,0.93,52073,0.14,9.69,10.21,10.21,10.21,9.28,48757143251,36863465457,2.02
20,002918,蒙娜丽莎,23.18,10.01,2.11,63915,2.98,17.05,23.18,21.1,21.08,21.07,9603750769,4964564701,2.63
21,603078,江化微,23.62,10.01,2.15,79732,4.07,151.48,23.62,21.32,21.24,21.47,4628864332,4628864332,4.16
22,603378,亚士创能,26.81,10.01,2.44,41121,1.47,66.99,26.81,24.46,24.26,24.37,8014885077,7482471668,3.95
23,001219,青岛食品,27.25,10.01,2.48,2107,0.95,35.38,27.25,27.25,27.25,24.77,2418437500,604950000,2.94
24,600470,六国化工,9.12,10.01,0.83,1383410,26.52,15.61,9.12,8.24,8.08,8.29,4756992000,4756992000,3.12
25,000526,学大教育,22.97,10.01,2.09,42506,3.8,12.21,22.97,21.65,21.36,20.88,2705009426,2567296742,2.52
26,605589,圣泉集团,31.88,10.01,2.9,130684,16.12,33.18,31.88,28.71,28.7,28.98,24699884384,2584192800,3.24
27,002032,苏 泊 尔,50.02,10.01,4.55,128697,2.14,23.37,50.02,45.49,45.49,45.47,40450097370,30011555922,5.98
28,603650,彤程新材,52.89,10.0,4.81,77918,1.31,66.28,52.89,48.47,48.47,48.08,31419236272,31419236272,13.18
29,603922,金鸿顺,27.6,10.0,2.51,43009,3.36,-275.86,27.6,25.13,25.13,25.09,3532800000,3532800000,3.43
30,605286,同力日升,20.13,10.0,1.83,4652,1.11,27.18,20.13,20.13,20.13,18.3,3381840000,845460000,2.44
31,603737,三棵树,121.11,10.0,11.01,33927,0.93,201.68,121.11,111.0,110.54,110.1,45590343929,44201979582,18.47
32,603398,邦宝益智,14.52,10.0,1.32,198829,6.71,88.44,14.52,13.0,12.95,13.2,4975053042,4303478256,4.48
33,603208,江山欧派,65.12,10.0,5.92,25563,2.43,19.28,65.12,60.52,60.52,59.2,6841564440,6841564440,3.97
34,002617,露笑科技,15.51,10.0,1.41,771727,5.97,77.3,15.51,14.31,14.2,14.1,24872942266,20064331848,6.61
35,000897,津滨发展,2.64,10.0,0.24,687391,4.25,67.85,2.64,2.42,2.4,2.4,4269598698,4269525834,2.93
36,002959,小熊电器,50.84,10.0,4.62,38084,5.0,28.61,50.84,46.22,46.16,46.22,7953612960,3875079453,4.13
37,002557,洽洽食品,48.97,10.0,4.45,124442,2.45,37.93,48.97,44.63,44.6,44.52,24827873102,24827689465,5.99
38,605288,凯迪股份,61.42,9.99,5.58,13839,7.91,36.64,61.42,55.78,55.37,55.84,4341740491,1074850000,2.15
39,600536,中国软件,52.95,9.99,4.81,272474,5.51,-36.28,52.95,48.23,48.23,48.14,26187099307,26187099307,13.54
40,601702,华峰铝业,12.77,9.99,1.16,524531,18.87,26.59,12.77,11.61,10.81,11.61,12751235762,3549166100,4.44
41,603931,格林达,32.92,9.99,2.99,11833,1.43,34.76,32.92,30.21,30.21,29.93,4692472764,2715959585,3.98
42,001216,华瓷股份,17.95,9.99,1.63,352547,55.99,42.82,17.95,16.88,14.91,16.32,4521007265,1130252265,3.6
43,603138,海量数据,18.07,9.98,1.64,271491,10.75,274.56,18.07,16.35,16.06,16.43,4653547223,4565647949,8.86
44,603220,中贝通信,16.31,9.98,1.48,225933,12.42,44.88,16.31,14.9,14.78,14.83,5508865600,2966905111,3.4
45,600336,澳柯玛,8.28,9.96,0.75,579740,7.4,30.36,8.28,7.64,7.5,7.53,6609619867,6490290991,2.76
